"","Q","text","tokens","uncivil_dictionary","n_raters","n_uncivil","uncivil_perceptions","uncivil_coded"
"1","Q1","收皮啦屌你老母！就係多得呢你啲人唔少當人哋係乜嘢啊？condom啊？！咪撚柒再分化！","收皮啦 屌你老母 就係 多得 呢 你啲人 唔少 當 人哋 係乜嘢 啊 啊 咪 撚 柒 再 分化",1,15,7,0.466666666666667,1
"2","Q10","Ban新聞真係好on9,完全係助燃Fb同twitter今次學哂777 d反宣傳style","新聞 真係 好on9 完全 係 助燃 同 今次 學 哂 反 宣傳",1,13,6,0.461538461538462,1
"3","Q100","而家大部分傳媒都被控制, 所以, 根本就要發動大清洗, 但林鄭阻住了.","而家 大部分 傳媒 都被 控制 所以 根本 就要 發動 大 清洗 但 林鄭 阻住 了",0,15,4,0.266666666666667,0
"4","Q101","其實呢 我覺得就算佢係想自殺 都冇可能會全裸變浮屍所以無論幾多&ldquo;證據&rdquo;都好 都係一樣死因有可疑","其實 呢 我 覺得 就算 佢係 想 自殺 都 冇可能 會 全裸 變 浮屍 所以 無論 幾多 證據 都好 都係一樣 死因 有可疑",0,20,3,0.15,0
"5","Q102","八月頭呼籲大家唔好再嗌呢個口號驚畀柒婆扣港獨帽子影響國際形象嗰班應該都估唔到","八 月頭 呼籲 大家 唔好 再 嗌 呢個 口號 驚畀 柒婆 扣 港獨 帽子 影響 國際形象 嗰班 應該 都估唔到",1,16,10,0.625,1
"6","Q103","美國又係柒柒下，香港早兩個月已經示範晒又一證明對支那存一點天真想法都會冚家鏟","美國 又係 柒 柒下 香港 早 兩 個月 已經 示範 晒 又 一 證明 對 支那 存 一點 天真 想法 都會 冚家鏟",1,17,5,0.294117647058824,1
"7","Q104","曱甴洗乜底啊？自己做又唔夠膽認。偷中國移動手機仲要鋪上網賣，笑死，窮死一世就系你地種人啦。","曱甴 洗乜 底 啊 自己 做 又 唔夠膽 認 偷 中國 移動 手機 仲要 鋪 上網 賣 笑死 窮死 一世 就系 你地 種 人 啦",1,12,8,0.666666666666667,1
"8","Q105","果種厭惡程度可能係但係情況唔到在於香港主流媒體一致支持林鄭但係香港大部分市民唔支持佢而侵就係比所有媒體封殺都仲有一半人支持","果種 厭惡 程度 可能 係 但係 情況 唔到 在於 香港 主流媒體 一致 支持 林鄭 但係 香港 大部分 市民 唔支持 佢 而 侵 就係 比 所有 媒體 封殺 都 仲有 一半人 支持",0,12,1,0.0833333333333333,0
"9","Q106","浸浸一直唔信班傳染病專家，所以搞到尾國感染人數不斷創新高:fst_007:","浸 浸 一直 唔信 班 傳染病 專家 所以 搞到 尾國 感染 人數 不斷 創新高",0,16,2,0.125,1
"10","Q107","我認為抗爭係唔需要太嚴厲的道德高地，咁會變咗道德枷鎖但起碼你的道德高度要比你對手高，歷史話比我地知，民意先係最大武器","我 認為 抗爭 係 唔需要 太 嚴厲 的 道德 高地 咁 會 變咗 道德 枷鎖 但 起碼 你 的 道德 高度 要 比你 對手 高 歷史 話比 我地 知 民意 先係 最大 武器",0,15,2,0.133333333333333,0
